person,person_url,universities_category,key,value
Alberto Alesina,https://vi.wikipedia.org/wiki/Alberto_Alesina,Đại học Harvard,alma_mater,Đại học Harvard
Alberto Alesina,https://vi.wikipedia.org/wiki/Alberto_Alesina,Đại học Harvard,field,Kinh tế chính trị
Alberto Alesina,https://vi.wikipedia.org/wiki/Alberto_Alesina,Đại học Harvard,image,Alberto Alesina (2013).jpg
Alberto Alesina,https://vi.wikipedia.org/wiki/Alberto_Alesina,Đại học Harvard,name,Alberto Alesina
Alberto Alesina,https://vi.wikipedia.org/wiki/Alberto_Alesina,Đại học Harvard,signature,<!-- file name only -->
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin,Đại học Harvard,birth_date,1944
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin,Đại học Harvard,caption,Alexander Berzin
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin,Đại học Harvard,caption,tháng 6 năm 2007
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin,Đại học Harvard,image,220px|Alexander Berzin
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin,Đại học Harvard,image,tháng 6 năm 2007
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin,Đại học Harvard,name,Alexander Berzin
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin,Đại học Harvard,occupation,học giả Phật giáo Tây Tạng
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin,Đại học Harvard,religion,Phật giáo Tây Tạng
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,birth_place,Pennsylvania
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,birth_place,Philadelphia
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,death_place,Baltimore
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,death_place,Maryland
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,death_place,U.S
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,image,Alexander Haig Official Portrait.jpg
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,imagesize,220px
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,name,Alexander Haig
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,office,Bộ trưởng Ngoại giao Hoa Kỳ thứ 59
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,office2,Tham mưu trưởng Nhà Trắng
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,party,Cộng hòa
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,predecessor,Edmund Muskie
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,predecessor2,H.R. Haldeman
