person_title,person_url
Ginni Rometty,https://vi.wikipedia.org/wiki/Ginni_Rometty
Glendon Swarthout,https://vi.wikipedia.org/wiki/Glendon_Swarthout
Gloria Macapagal Arroyo,https://vi.wikipedia.org/wiki/Gloria_Macapagal_Arroyo
Gonzalo de Quesada y Aróstegui,https://vi.wikipedia.org/wiki/Gonzalo_de_Quesada_y_Ar%C3%B3stegui
Goodwin Knight,https://vi.wikipedia.org/wiki/Goodwin_Knight
Gordon Woodbury,https://vi.wikipedia.org/wiki/Gordon_Woodbury
Grace Hopper,https://vi.wikipedia.org/wiki/Grace_Hopper
Gray Davis,https://vi.wikipedia.org/wiki/Gray_Davis
Greg Berlanti,https://vi.wikipedia.org/wiki/Greg_Berlanti
Greg Sandow,https://vi.wikipedia.org/wiki/Greg_Sandow
Gregg L. Semenza,https://vi.wikipedia.org/wiki/Gregg_L._Semenza
Gregory Goodwin Pincus,https://vi.wikipedia.org/wiki/Gregory_Goodwin_Pincus
Gregory P. Baxter,https://vi.wikipedia.org/wiki/Gregory_P._Baxter
Habib Essid,https://vi.wikipedia.org/wiki/Habib_Essid
Hamilton O. Smith,https://vi.wikipedia.org/wiki/Hamilton_O._Smith
Han Duck-soo,https://vi.wikipedia.org/wiki/Han_Duck-soo
Harold E. Varmus,https://vi.wikipedia.org/wiki/Harold_E._Varmus
Harold G. Moore,https://vi.wikipedia.org/wiki/Harold_G._Moore
Harold Garfinkel,https://vi.wikipedia.org/wiki/Harold_Garfinkel
Harold Urey,https://vi.wikipedia.org/wiki/Harold_Urey
Harry Eagle,https://vi.wikipedia.org/wiki/Harry_Eagle
Harry Hammond Hess,https://vi.wikipedia.org/wiki/Harry_Hammond_Hess
Harry Nyquist,https://vi.wikipedia.org/wiki/Harry_Nyquist
Harry R. Lewis,https://vi.wikipedia.org/wiki/Harry_R._Lewis
Hatoyama Yukio,https://vi.wikipedia.org/wiki/Hatoyama_Yukio
Heba Amin,https://vi.wikipedia.org/wiki/Heba_Amin
Heisuke Hironaka,https://vi.wikipedia.org/wiki/Heisuke_Hironaka
Helen Brooke Taussig,https://vi.wikipedia.org/wiki/Helen_Brooke_Taussig
Helen Hornbeck Tanner,https://vi.wikipedia.org/wiki/Helen_Hornbeck_Tanner
Hendrik Wade Bode,https://vi.wikipedia.org/wiki/Hendrik_Wade_Bode
Henrique Capriles Radonski,https://vi.wikipedia.org/wiki/Henrique_Capriles_Radonski
Henry Adams,https://vi.wikipedia.org/wiki/Henry_Adams
Henry Cabot Lodge Jr.,https://vi.wikipedia.org/wiki/Henry_Cabot_Lodge_Jr.
Henry David Thoreau,https://vi.wikipedia.org/wiki/Henry_David_Thoreau
Henry Fonda,https://vi.wikipedia.org/wiki/Henry_Fonda
Henry Huntly Haight,https://vi.wikipedia.org/wiki/Henry_Huntly_Haight
Henry Kissinger,https://vi.wikipedia.org/wiki/Henry_Kissinger
Henry Laurence Gantt,https://vi.wikipedia.org/wiki/Henry_Laurence_Gantt
Henry Luce,https://vi.wikipedia.org/wiki/Henry_Luce
Henry Steel Olcott,https://vi.wikipedia.org/wiki/Henry_Steel_Olcott
Herbert A. Hauptman,https://vi.wikipedia.org/wiki/Herbert_A._Hauptman
Herbert Hoover,https://vi.wikipedia.org/wiki/Herbert_Hoover
Herbert Marcuse,https://vi.wikipedia.org/wiki/Herbert_Marcuse
Herbert Spencer Gasser,https://vi.wikipedia.org/wiki/Herbert_Spencer_Gasser
Herman Hollerith,https://vi.wikipedia.org/wiki/Herman_Hollerith
Hermann Joseph Muller,https://vi.wikipedia.org/wiki/Hermann_Joseph_Muller
Hilary Putnam,https://vi.wikipedia.org/wiki/Hilary_Putnam
Horatio Alger,https://vi.wikipedia.org/wiki/Horatio_Alger
