src_root,dst_person,relation
Đại học Oxford,Indira Gandhi,LINK_FROM_START
Đại học Oxford,Álvaro Uribe,LINK_FROM_START
Đại học Oxford,Abhisit Vejjajiva,LINK_FROM_START
Đại học Oxford,Aung San Suu Kyi,LINK_FROM_START
Đại học Oxford,Dr. Seuss,LINK_FROM_START
Đại học Oxford,Lewis Carroll,LINK_FROM_START
Đại học Oxford,Robert Bridges,LINK_FROM_START
Đại học Oxford,Amartya Sen,LINK_FROM_START
Đại học Cambridge,Winston Churchill,LINK_FROM_START
Đại học Cambridge,Theodore Roosevelt,LINK_FROM_START
Đại học Cambridge,Ronald Reagan,LINK_FROM_START
Đại học Cambridge,Jawaharlal Nehru,LINK_FROM_START
Đại học Cambridge,William Wilberforce,LINK_FROM_START
Đại học Cambridge,Ralph Vaughan Williams,LINK_FROM_START
Đại học Cambridge,William Wordsworth,LINK_FROM_START
Đại học Yale,Woodrow Wilson,LINK_FROM_START
Đại học Yale,John F. Kennedy,LINK_FROM_START
Đại học Yale,Gerald Ford,LINK_FROM_START
Đại học Yale,Bill Clinton,LINK_FROM_START
Đại học Yale,George W. Bush,LINK_FROM_START
Đại học Yale,Howard Dean,LINK_FROM_START
Đại học Yale,Jerry Brown,LINK_FROM_START
Đại học Yale,William Howard Taft,LINK_FROM_START
Đại học Yale,George H. W. Bush,LINK_FROM_START
Đại học Yale,John C. Calhoun,LINK_FROM_START
Đại học Yale,Hillary Clinton,LINK_FROM_START
Đại học Yale,Dean Acheson,LINK_FROM_START
Đại học Yale,F. Scott Fitzgerald,LINK_FROM_START
