from,to,type,weight
Jeremy Corbyn,Sukarno,link_to,1
Jeremy Corbyn,Lev Davidovich Trotsky,link_to,1
Jeremy Corbyn,Zulfikar Ali Bhutto,link_to,1
Jeremy Corbyn,Gro Harlem Brundtland,link_to,1
Jeremy Corbyn,Tage Erlander,link_to,1
Jeremy Corbyn,Bob Hawke,link_to,1
Jeremy Corbyn,Jean Jaurès,link_to,1
Jeremy Corbyn,Ramsay MacDonald,link_to,1
Jeremy Corbyn,Jawaharlal Nehru,link_to,1
Jeremy Corbyn,Romano Prodi,link_to,1
Jeremy Corbyn,Bernie Sanders,link_to,1
Jerry Brown,Ronald Reagan,link_to,1
Jerry Brown,Kamala Harris,link_to,1
Jerry Brown,Mike Pence,link_to,1
Jerry Brown,Nancy Pelosi,link_to,1
Jerry Brown,Scott Walker (chính khách),link_to,1
Jerry Brown,Earl Warren,link_to,1
Jerry Brown,Kay Ivey,link_to,1
Jerry Brown,Doug Ducey,link_to,1
Jerry Brown,Asa Hutchinson,link_to,1
Jerry Brown,Jared Polis,link_to,1
Jerry Brown,Ned Lamont,link_to,1
Jerry Brown,Ron DeSantis,link_to,1
Jerry Brown,Brian Kemp,link_to,1
Jerry Brown,David Ige,link_to,1
Jerry Brown,J. B. Pritzker,link_to,1
Jerry Brown,Eric Holcomb,link_to,1
Jerry Brown,Kim Reynolds,link_to,1
Jerry Brown,Laura Kelly,link_to,1
Jerry Brown,Andy Beshear,link_to,1
Jerry Brown,John Bel Edwards,link_to,1
Jerry Brown,Janet Mills,link_to,1
Jerry Brown,Larry Hogan,link_to,1
Jerry Brown,Charlie Baker,link_to,1
Jerry Brown,Gretchen Whitmer,link_to,1
Jerry Brown,Tim Walz,link_to,1
Jerry Brown,Pete Ricketts,link_to,1
Jerry Brown,Steve Sisolak,link_to,1
Jerry Brown,Chris Sununu,link_to,1
Jerry Brown,Phil Murphy,link_to,1
Jerry Brown,Michelle Lujan Grisham,link_to,1
Jerry Brown,Roy Cooper,link_to,1
Jerry Brown,Doug Burgum,link_to,1
Jerry Brown,Mike DeWine,link_to,1
Jerry Brown,Kevin Stitt,link_to,1
Jerry Brown,Kate Brown,link_to,1
Jerry Brown,Tom Wolf,link_to,1
Jerry Brown,Gina Raimondo,link_to,1
Jerry Brown,Henry McMaster,link_to,1
Jerry Brown,Kristi Noem,link_to,1
Jerry Brown,Greg Abbott,link_to,1
Jerry Brown,Jay Inslee,link_to,1
Jerry Brown,Jim Justice,link_to,1
Jerry Brown,Tony Evers,link_to,1
Jerry Brown,Ricardo Rosselló,link_to,1
Jim Webb,Tim Kaine,link_to,1
Jim Webb,Ronald Reagan,link_to,1
Jim Webb,George W. Bush,link_to,1
Joachim Gauck,Václav Havel,link_to,1
Jim McGreevey,Đại học Harvard,link_to,1
Jim McGreevey,Woodrow Wilson,link_to,1
Jim McGreevey,Phil Murphy,link_to,1
Jerzy Buzek,Włodzimierz Cimoszewicz,link_to,1
Jerzy Buzek,José Manuel Barroso,link_to,1
Jerzy Buzek,Herman Van Rompuy,link_to,1
Jerzy Buzek,Jyrki Katainen,link_to,1
Jerzy Buzek,Mariano Rajoy,link_to,1
Jerzy Buzek,Mark Rutte,link_to,1
Jerzy Buzek,Angela Merkel,link_to,1
Jerzy Buzek,Jarosław Kaczyński,link_to,1
Jerzy Buzek,Mateusz Morawiecki,link_to,1
Jill Stein,Đại học Harvard,link_to,1
Johan Wilhelm Rangell,Pehr Evind Svinhufvud,link_to,1
Johan Wilhelm Rangell,Juho Kusti Paasikivi,link_to,1
Johan Wilhelm Rangell,Urho Kekkonen,link_to,1
Johan Wilhelm Rangell,Martti Ahtisaari,link_to,1
Johan Wilhelm Rangell,Tarja Halonen,link_to,1
Johan Wilhelm Rangell,Sauli Niinistö,link_to,1
Johan Wilhelm Rangell,Rafael Erich,link_to,1
Johan Wilhelm Rangell,Teuvo Aura,link_to,1
Johan Wilhelm Rangell,Keijo Liinamaa,link_to,1
Johan Wilhelm Rangell,Paavo Lipponen,link_to,1
Johan Wilhelm Rangell,Matti Vanhanen,link_to,1
Johan Wilhelm Rangell,Mari Kiviniemi,link_to,1
Johan Wilhelm Rangell,Jyrki Katainen,link_to,1
Johan Wilhelm Rangell,Juha Sipilä,link_to,1
Johan Wilhelm Rangell,Sanna Marin,link_to,1
Jill Biden,Joe Biden,link_to,1
Jill Biden,Karen Pence,link_to,1
Jill Biden,Beau Biden,link_to,1
Jill Biden,Michelle Obama,link_to,1
Jill Biden,Howard Dean,link_to,1
Jill Biden,Lucy Webb Hayes,link_to,1
Jill Biden,Lady Bird Johnson,link_to,1
Jill Biden,Laura Bush,link_to,1
John Atta Mills,John Dramani Mahama,link_to,1
John Atta Mills,Nana Akufo-Addo,link_to,1
John Abbott,Wilfrid Laurier,link_to,1
John Abbott,William Lyon Mackenzie King,link_to,1
John Abbott,John Diefenbaker,link_to,1
John Abbott,Pierre Trudeau,link_to,1
John Abbott,John Turner,link_to,1
John Abbott,Kim Campbell,link_to,1
John Abbott,Paul Martin,link_to,1
Johannes Vilhelm Jensen,Thomas Mann,link_to,1
Johannes Vilhelm Jensen,Theodor Mommsen,link_to,1
Johannes Vilhelm Jensen,José Echegaray,link_to,1
Johannes Vilhelm Jensen,Henri Bergson,link_to,1
Johannes Vilhelm Jensen,Luigi Pirandello,link_to,1
Johannes Vilhelm Jensen,Roger Martin du Gard,link_to,1
Johannes Vilhelm Jensen,T. S. Eliot,link_to,1
Johannes Vilhelm Jensen,William Faulkner,link_to,1
Johannes Vilhelm Jensen,Winston Churchill,link_to,1
Johannes Vilhelm Jensen,Ivo Andrić,link_to,1
Johannes Vilhelm Jensen,Miguel Ángel Asturias,link_to,1
Johannes Vilhelm Jensen,Heinrich Böll,link_to,1
Johannes Vilhelm Jensen,Odysseas Elytis,link_to,1
Johannes Vilhelm Jensen,Elias Canetti,link_to,1
Johannes Vilhelm Jensen,Gabriel García Márquez,link_to,1
Johannes Vilhelm Jensen,William Golding,link_to,1
Johannes Vilhelm Jensen,Camilo José Cela,link_to,1
Johannes Vilhelm Jensen,Cao Hành Kiện,link_to,1
Johannes Vilhelm Jensen,Kazuo Ishiguro,link_to,1
John Boehner,Nancy Pelosi,link_to,1
John Boehner,Paul Ryan,link_to,1
John Boehner,Frederick Muhlenberg,link_to,1
John Boehner,Jonathan Dayton,link_to,1
John Boehner,John Nance Garner,link_to,1
John Boehner,Newt Gingrich,link_to,1
John Boehner,Kevin McCarthy,link_to,1
John Boehner,Mike Johnson,link_to,1
Jim Justice,Donald Trump,link_to,1
Jim Justice,Joe Biden,link_to,1
Jim Justice,Ned Lamont,link_to,1
Jim Justice,Phil Murphy,link_to,1
Jim Justice,Tom Wolf,link_to,1
Jim Justice,Phil Scott,link_to,1
Jim Justice,Kim Reynolds,link_to,1
Jim Justice,Laura Kelly,link_to,1
Jim Justice,Tim Walz,link_to,1
Jim Justice,Pete Ricketts,link_to,1
Jim Justice,Mike DeWine,link_to,1
Jim Justice,Kristi Noem,link_to,1
Jim Justice,Tony Evers,link_to,1
Jim Justice,Kay Ivey,link_to,1
Jim Justice,John Carney,link_to,1
Jim Justice,Ron DeSantis,link_to,1
Jim Justice,John Bel Edwards,link_to,1
Jim Justice,Larry Hogan,link_to,1
Jim Justice,Tate Reeves,link_to,1
Jim Justice,Roy Cooper,link_to,1
Jim Justice,Kevin Stitt,link_to,1
Jim Justice,Ralph Northam,link_to,1
Jim Justice,Mike Dunleavy,link_to,1
Jim Justice,Steve Sisolak,link_to,1
Jim Justice,Michelle Lujan Grisham,link_to,1
Jim Justice,Kate Brown,link_to,1
Jim Justice,Spencer Cox,link_to,1
Jim Justice,Mark Gordon (chính trị gia),link_to,1
Jim Justice,Jerome Adams,link_to,1
Jim Justice,Deborah Birx,link_to,1
Jim Justice,Anthony Fauci,link_to,1
Jim Justice,Brett Giroir,link_to,1
Jim Justice,Peter Navarro,link_to,1
Jim Justice,Mike Pence,link_to,1
Jim Justice,Robert R. Redfield,link_to,1
John C. Breckinridge,William R. King,link_to,1
John C. Breckinridge,John Adams,link_to,1
John C. Breckinridge,Thomas Jefferson,link_to,1
John C. Breckinridge,Elbridge Gerry,link_to,1
John C. Breckinridge,John C. Calhoun,link_to,1
John C. Breckinridge,Richard Mentor Johnson,link_to,1
John C. Breckinridge,John Tyler,link_to,1
John C. Breckinridge,George M. Dallas,link_to,1
John C. Breckinridge,William A. Wheeler,link_to,1
John C. Breckinridge,Thomas A. Hendricks,link_to,1
John C. Breckinridge,Theodore Roosevelt,link_to,1
John C. Breckinridge,Thomas R. Marshall,link_to,1
John C. Breckinridge,Charles G. Dawes,link_to,1
John C. Breckinridge,John Nance Garner,link_to,1
John C. Breckinridge,Alben W. Barkley,link_to,1
John C. Breckinridge,Richard Nixon,link_to,1
John C. Breckinridge,Lyndon B. Johnson,link_to,1
John C. Breckinridge,Hubert Humphrey,link_to,1
John C. Breckinridge,Nelson Rockefeller,link_to,1
John C. Breckinridge,Walter Mondale,link_to,1
John C. Breckinridge,Joe Biden,link_to,1
John C. Breckinridge,Mike Pence,link_to,1
John C. Breckinridge,Kamala Harris,link_to,1
John Bel Edwards,Barack Obama,link_to,1
John Bel Edwards,Hillary Clinton,link_to,1
John Bel Edwards,Thái Anh Văn,link_to,1
John Bel Edwards,Joe Biden,link_to,1
John Bel Edwards,Ned Lamont,link_to,1
John Bel Edwards,Phil Murphy,link_to,1
John Bel Edwards,Tom Wolf,link_to,1
John Bel Edwards,Phil Scott,link_to,1
John Bel Edwards,Kim Reynolds,link_to,1
John Bel Edwards,Laura Kelly,link_to,1
John Bel Edwards,Tim Walz,link_to,1
John Bel Edwards,Pete Ricketts,link_to,1
John Bel Edwards,Mike DeWine,link_to,1
John Bel Edwards,Kristi Noem,link_to,1
John Bel Edwards,Tony Evers,link_to,1
John Bel Edwards,Kay Ivey,link_to,1
John Bel Edwards,John Carney,link_to,1
John Bel Edwards,Ron DeSantis,link_to,1
John Bel Edwards,Larry Hogan,link_to,1
John Bel Edwards,Tate Reeves,link_to,1
John Bel Edwards,Roy Cooper,link_to,1
John Bel Edwards,Kevin Stitt,link_to,1
John Bel Edwards,Ralph Northam,link_to,1
John Bel Edwards,Mike Dunleavy,link_to,1
John Bel Edwards,Steve Sisolak,link_to,1
John Bel Edwards,Michelle Lujan Grisham,link_to,1
John Bel Edwards,Kate Brown,link_to,1
John Bel Edwards,Spencer Cox,link_to,1
John Bel Edwards,Mark Gordon (chính trị gia),link_to,1
John Bel Edwards,Jerome Adams,link_to,1
John Bel Edwards,Deborah Birx,link_to,1
John Bel Edwards,Anthony Fauci,link_to,1
John Bel Edwards,Brett Giroir,link_to,1
John Bel Edwards,Peter Navarro,link_to,1
John Bel Edwards,Mike Pence,link_to,1
John Bel Edwards,Robert R. Redfield,link_to,1
John Bel Edwards,Donald Trump,link_to,1
John Dramani Mahama,Nana Akufo-Addo,link_to,1
John C. Calhoun,John Quincy Adams,link_to,1
John C. Calhoun,John Tyler,link_to,1
John C. Calhoun,James K. Polk,link_to,1
John C. Calhoun,James Monroe,link_to,1
John C. Calhoun,Đại học Yale,link_to,1
John C. Calhoun,John Adams,link_to,1
John C. Calhoun,Thomas Jefferson,link_to,1
John C. Calhoun,Elbridge Gerry,link_to,1
John C. Calhoun,Richard Mentor Johnson,link_to,1
John C. Calhoun,George M. Dallas,link_to,1
John C. Calhoun,William R. King,link_to,1
John C. Calhoun,William A. Wheeler,link_to,1
John C. Calhoun,Thomas A. Hendricks,link_to,1
John C. Calhoun,Theodore Roosevelt,link_to,1
John C. Calhoun,Thomas R. Marshall,link_to,1
John C. Calhoun,Charles G. Dawes,link_to,1
John C. Calhoun,John Nance Garner,link_to,1
John C. Calhoun,Alben W. Barkley,link_to,1
John C. Calhoun,Richard Nixon,link_to,1
John C. Calhoun,Lyndon B. Johnson,link_to,1
John C. Calhoun,Hubert Humphrey,link_to,1
John C. Calhoun,Nelson Rockefeller,link_to,1
John C. Calhoun,Walter Mondale,link_to,1
John C. Calhoun,Joe Biden,link_to,1
John C. Calhoun,Mike Pence,link_to,1
John C. Calhoun,Kamala Harris,link_to,1
John Adams,Thomas Jefferson,link_to,1
John Adams,John Quincy Adams,link_to,1
John Adams,Đại học Harvard,link_to,1
John Adams,Oliver Wolcott Jr.,link_to,1
John Adams,William Henry Harrison,link_to,1
John Adams,John Tyler,link_to,1
John Adams,Ulysses S. Grant,link_to,1
John Adams,Rutherford B. Hayes,link_to,1
John Adams,William McKinley,link_to,1
John Adams,Theodore Roosevelt,link_to,1
John Adams,William Howard Taft,link_to,1
John Adams,Woodrow Wilson,link_to,1
John Adams,Warren G. Harding,link_to,1
John Adams,John F. Kennedy,link_to,1
John Adams,Lyndon B. Johnson,link_to,1
John Adams,Richard Nixon,link_to,1
John Adams,Jimmy Carter,link_to,1
John Adams,Ronald Reagan,link_to,1
John Adams,Joe Biden,link_to,1
John Adams,Elbridge Gerry,link_to,1
John Adams,Richard Mentor Johnson,link_to,1
John Adams,George M. Dallas,link_to,1
John Adams,William R. King,link_to,1
John Adams,William A. Wheeler,link_to,1
John Adams,Thomas A. Hendricks,link_to,1
John Adams,Thomas R. Marshall,link_to,1
John Adams,Charles G. Dawes,link_to,1
John Adams,John Nance Garner,link_to,1
John Adams,Alben W. Barkley,link_to,1
John Adams,Hubert Humphrey,link_to,1
John Adams,Nelson Rockefeller,link_to,1
John Adams,Walter Mondale,link_to,1
John Adams,Mike Pence,link_to,1
John Adams,Kamala Harris,link_to,1
Jerome Adams,Donald Trump,link_to,1
Jerome Adams,Mike Pence,link_to,1
Jerome Adams,Robert R. Redfield,link_to,1
Jerome Adams,Mã Hiểu Vĩ,link_to,1
Jerome Adams,Anthony Fauci,link_to,1
Jerome Adams,Lý Khắc Cường,link_to,1
John Diefenbaker,Wilfrid Laurier,link_to,1
John Diefenbaker,William Lyon Mackenzie King,link_to,1
John Diefenbaker,Pierre Trudeau,link_to,1
John Diefenbaker,John Turner,link_to,1
John Diefenbaker,Kim Campbell,link_to,1
John Diefenbaker,Paul Martin,link_to,1
John Gorton,John McEwen,link_to,1
John Gorton,William McMahon,link_to,1
John Gorton,Malcolm Fraser,link_to,1
John Gorton,Robert Menzies,link_to,1
John Gorton,Stanley Bruce,link_to,1
John Gorton,John Howard,link_to,1
John Gorton,Kevin Rudd,link_to,1
John Gorton,Julia Gillard,link_to,1
John Gorton,Tony Abbott,link_to,1
John Gorton,Malcolm Turnbull,link_to,1
John Gorton,Scott Morrison,link_to,1
John Henry Newman,Đại học Oxford,link_to,1
John Hickenlooper,Kay Ivey,link_to,1
John Hickenlooper,Doug Ducey,link_to,1
John Hickenlooper,Asa Hutchinson,link_to,1
John Hickenlooper,Gavin Newsom,link_to,1
John Hickenlooper,Ned Lamont,link_to,1
John Hickenlooper,Ron DeSantis,link_to,1
John Hickenlooper,Brian Kemp,link_to,1
John Hickenlooper,David Ige,link_to,1
John Hickenlooper,J. B. Pritzker,link_to,1
John Hickenlooper,Eric Holcomb,link_to,1
John Hickenlooper,Kim Reynolds,link_to,1
John Hickenlooper,Laura Kelly,link_to,1
John Hickenlooper,Andy Beshear,link_to,1
John Hickenlooper,John Bel Edwards,link_to,1
John Hickenlooper,Janet Mills,link_to,1
John Hickenlooper,Larry Hogan,link_to,1
John Hickenlooper,Charlie Baker,link_to,1
John Hickenlooper,Gretchen Whitmer,link_to,1
John Hickenlooper,Tim Walz,link_to,1
John Hickenlooper,Pete Ricketts,link_to,1
John Hickenlooper,Steve Sisolak,link_to,1
John Hickenlooper,Chris Sununu,link_to,1
John Hickenlooper,Phil Murphy,link_to,1
John Hickenlooper,Michelle Lujan Grisham,link_to,1
John Hickenlooper,Roy Cooper,link_to,1
John Hickenlooper,Doug Burgum,link_to,1
John Hickenlooper,Mike DeWine,link_to,1
John Hickenlooper,Kevin Stitt,link_to,1
John Hickenlooper,Kate Brown,link_to,1
John Hickenlooper,Tom Wolf,link_to,1
John Hickenlooper,Gina Raimondo,link_to,1
John Hickenlooper,Henry McMaster,link_to,1
John Hickenlooper,Kristi Noem,link_to,1
John Hickenlooper,Greg Abbott,link_to,1
John Hickenlooper,Jay Inslee,link_to,1
John Hickenlooper,Jim Justice,link_to,1
John Hickenlooper,Tony Evers,link_to,1
John Hickenlooper,Ricardo Rosselló,link_to,1
John Howard,Kevin Rudd,link_to,1
John Howard,Thabo Mbeki,link_to,1
John Howard,Malcolm Fraser,link_to,1
John Howard,Robert Menzies,link_to,1
John Howard,Stanley Bruce,link_to,1
John Howard,John McEwen,link_to,1
John Howard,William McMahon,link_to,1
John Howard,Julia Gillard,link_to,1
John Howard,Tony Abbott,link_to,1
John Howard,Malcolm Turnbull,link_to,1
John Howard,Scott Morrison,link_to,1
Jimmy Carter,Walter Mondale,link_to,1
Jimmy Carter,Ronald Reagan,link_to,1
Jimmy Carter,Richard Nixon,link_to,1
Jimmy Carter,John F. Kennedy,link_to,1
Jimmy Carter,Robert Mugabe,link_to,1
Jimmy Carter,Augusto Pinochet,link_to,1
Jimmy Carter,Đặng Tiểu Bình,link_to,1
Jimmy Carter,Menachem Begin,link_to,1
Jimmy Carter,Zbigniew Brzezinski,link_to,1
Jimmy Carter,Thomas Jefferson,link_to,1
Jimmy Carter,Fidel Castro,link_to,1
Jimmy Carter,Theodore Roosevelt,link_to,1
Jimmy Carter,Woodrow Wilson,link_to,1
Jimmy Carter,Gordon Brown,link_to,1
Jimmy Carter,Đại học Harvard,link_to,1
Jimmy Carter,Joe Biden,link_to,1
Jimmy Carter,George McGovern,link_to,1
Jimmy Carter,John Quincy Adams,link_to,1
Jimmy Carter,William Henry Harrison,link_to,1
Jimmy Carter,John Tyler,link_to,1
Jimmy Carter,Ulysses S. Grant,link_to,1
Jimmy Carter,Rutherford B. Hayes,link_to,1
Jimmy Carter,William McKinley,link_to,1
Jimmy Carter,William Howard Taft,link_to,1
Jimmy Carter,Warren G. Harding,link_to,1
Jimmy Carter,Lyndon B. Johnson,link_to,1
Jimmy Carter,Charles G. Dawes,link_to,1
Jimmy Carter,Philip Noel-Baker,link_to,1
Jimmy Carter,Dag Hammarskjöld,link_to,1
Jimmy Carter,Satō Eisaku,link_to,1
Jimmy Carter,Óscar Arias,link_to,1
Jimmy Carter,Mikhail Sergeyevich Gorbachyov,link_to,1
Jimmy Carter,Nelson Mandela,link_to,1
Jimmy Carter,Shimon Peres,link_to,1
Jimmy Carter,Kim Dae-jung,link_to,1
Jimmy Carter,Kofi Annan,link_to,1
Jimmy Carter,Mohamed ElBaradei,link_to,1
Jimmy Carter,Muhammad Yunus,link_to,1
Jimmy Carter,Martti Ahtisaari,link_to,1
Jimmy Carter,Ellen Johnson Sirleaf,link_to,1
Jimmy Carter,Malala Yousafzai,link_to,1
Jimmy Carter,Juan Manuel Santos,link_to,1
Jimmy Carter,Maria Ressa,link_to,1
Jimmy Carter,Ruhollah Khomeini,link_to,1
Jimmy Carter,Newt Gingrich,link_to,1
John F. Kennedy,Lyndon B. Johnson,link_to,1
John F. Kennedy,Đại học Harvard,link_to,1
John F. Kennedy,Richard Nixon,link_to,1
John F. Kennedy,Fidel Castro,link_to,1
John F. Kennedy,Robert F. Kennedy,link_to,1
John F. Kennedy,Ted Kennedy,link_to,1
John F. Kennedy,Đại học Stanford,link_to,1
John F. Kennedy,Joseph McCarthy,link_to,1
John F. Kennedy,Nikita Sergeyevich Khrushchyov,link_to,1
John F. Kennedy,Ronald Reagan,link_to,1
John F. Kennedy,Robert McNamara,link_to,1
John F. Kennedy,Earl Warren,link_to,1
John F. Kennedy,Thomas Jefferson,link_to,1
John F. Kennedy,John Quincy Adams,link_to,1
John F. Kennedy,William Henry Harrison,link_to,1
John F. Kennedy,John Tyler,link_to,1
John F. Kennedy,Ulysses S. Grant,link_to,1
John F. Kennedy,Rutherford B. Hayes,link_to,1
John F. Kennedy,William McKinley,link_to,1
John F. Kennedy,Theodore Roosevelt,link_to,1
John F. Kennedy,William Howard Taft,link_to,1
John F. Kennedy,Woodrow Wilson,link_to,1
John F. Kennedy,Warren G. Harding,link_to,1
John F. Kennedy,Joe Biden,link_to,1
John F. Kennedy,Ngô Đình Diệm,link_to,1
John F. Kennedy,Ngô Đình Nhu,link_to,1
John F. Kennedy,Phêrô Máctinô Ngô Đình Thục,link_to,1
John F. Kennedy,Trần Lệ Xuân,link_to,1
John F. Kennedy,Vũ Văn Mẫu,link_to,1
John F. Kennedy,Dương Văn Minh,link_to,1
John F. Kennedy,Lê Văn Kim,link_to,1
John F. Kennedy,Nguyễn Hữu Có,link_to,1
John F. Kennedy,Nguyễn Khánh,link_to,1
John F. Kennedy,Nguyễn Văn Thiệu,link_to,1
John F. Kennedy,Tôn Thất Đính,link_to,1
John F. Kennedy,Trần Văn Đôn,link_to,1
John F. Kennedy,David Halberstam,link_to,1
John Jay,Thomas Jefferson,link_to,1
John Jay,John Adams,link_to,1
John Hicks,Đại học Oxford,link_to,1
John Hicks,Paul Samuelson,link_to,1
John Hicks,Simon Kuznets,link_to,1
John Hicks,Kenneth Arrow,link_to,1
John Hicks,Milton Friedman,link_to,1
John Hicks,Theodore Schultz,link_to,1
John Hicks,Lawrence Klein,link_to,1
John Hicks,Richard Stone,link_to,1
John Hicks,Robert Solow,link_to,1
John Hicks,Maurice Allais,link_to,1
John Hicks,Trygve Haavelmo,link_to,1
John Hicks,Merton Miller,link_to,1
John Hicks,Ronald Coase,link_to,1
John Hicks,Robert Fogel,link_to,1
John Hicks,"Robert Lucas, Jr.",link_to,1
John Hicks,William Vickrey,link_to,1
John Hicks,Myron Scholes,link_to,1
John Hicks,Robert Mundell,link_to,1
John Hicks,Michael Spence,link_to,1
John Hicks,Joseph Stiglitz,link_to,1
John Hicks,Robert F. Engle,link_to,1
John Hicks,Peter A. Diamond,link_to,1
John Hicks,Christopher A. Pissarides,link_to,1
John Hicks,Thomas J. Sargent,link_to,1
John Hicks,Richard Thaler,link_to,1
John Hicks,Joshua Angrist,link_to,1
John Kasich,Mike DeWine,link_to,1
John Kasich,Joe Biden,link_to,1
John Kasich,John Boehner,link_to,1
John Kasich,Rutherford B. Hayes,link_to,1
John Kasich,William McKinley,link_to,1
John Kasich,Warren G. Harding,link_to,1
John Hancock,Đại học Harvard,link_to,1
John Hancock,John Volpe,link_to,1
John Hancock,William Weld,link_to,1
John Hancock,Mitt Romney,link_to,1
John Carney,John Boehner,link_to,1
John Carney,Paul Ryan,link_to,1
John Carney,Joe Biden,link_to,1
John Carney,Donald Trump,link_to,1
John Carney,Ned Lamont,link_to,1
John Carney,Phil Murphy,link_to,1
John Carney,Tom Wolf,link_to,1
John Carney,Phil Scott,link_to,1
John Carney,Kim Reynolds,link_to,1
John Carney,Laura Kelly,link_to,1
John Carney,Tim Walz,link_to,1
John Carney,Pete Ricketts,link_to,1
John Carney,Mike DeWine,link_to,1
John Carney,Kristi Noem,link_to,1
John Carney,Tony Evers,link_to,1
John Carney,Kay Ivey,link_to,1
John Carney,Ron DeSantis,link_to,1
John Carney,Larry Hogan,link_to,1
John Carney,Tate Reeves,link_to,1
John Carney,Roy Cooper,link_to,1
John Carney,Kevin Stitt,link_to,1
John Carney,Ralph Northam,link_to,1
John Carney,Mike Dunleavy,link_to,1
John Carney,Steve Sisolak,link_to,1
John Carney,Michelle Lujan Grisham,link_to,1
John Carney,Kate Brown,link_to,1
John Carney,Spencer Cox,link_to,1
John Carney,Mark Gordon (chính trị gia),link_to,1
John Carney,Jerome Adams,link_to,1
John Carney,Deborah Birx,link_to,1
John Carney,Anthony Fauci,link_to,1
John Carney,Brett Giroir,link_to,1
John Carney,Peter Navarro,link_to,1
John Carney,Mike Pence,link_to,1
John Carney,Robert R. Redfield,link_to,1
John Lipsky,Dominique Strauss-Kahn,link_to,1
John Lipsky,Đại học Stanford,link_to,1
John Lipsky,Augusto Pinochet,link_to,1
John Kenneth Galbraith,Đại học Harvard,link_to,1
John Kenneth Galbraith,Joseph Stiglitz,link_to,1
John Kenneth Galbraith,Franklin D. Roosevelt,link_to,1
John Kenneth Galbraith,Lyndon B. Johnson,link_to,1
John McEwen,Stanley Bruce,link_to,1
John McEwen,Robert Menzies,link_to,1
John McEwen,William McMahon,link_to,1
John McEwen,Malcolm Fraser,link_to,1
John McEwen,Kevin Rudd,link_to,1
John McEwen,Julia Gillard,link_to,1
John McEwen,Tony Abbott,link_to,1
John McEwen,Malcolm Turnbull,link_to,1
John McEwen,Scott Morrison,link_to,1
John Roberts,Đại học Harvard,link_to,1
John Roberts,Ronald Reagan,link_to,1
John Roberts,George H. W. Bush,link_to,1
John Roberts,John Boehner,link_to,1
John Roberts,Jimmy Carter,link_to,1
John Quincy Adams,Richard Rush,link_to,1
John Quincy Adams,Thomas Jefferson,link_to,1
John Quincy Adams,Đại học Harvard,link_to,1
John O. Brennan,Barack Obama,link_to,1
John O. Brennan,George W. Bush,link_to,1
John O. Brennan,Bill Clinton,link_to,1
John O. Brennan,George Tenet,link_to,1
John O. Brennan,Rand Paul,link_to,1
John O. Brennan,Glenn Greenwald,link_to,1
John R. Bolton,Donald Trump,link_to,1
John R. Bolton,George H. W. Bush,link_to,1
John R. Bolton,Ronald Reagan,link_to,1
John R. Bolton,Đại học Yale,link_to,1
John R. Bolton,Mitt Romney,link_to,1
John R. Bolton,Ted Kennedy,link_to,1
Joe Biden,Kamala Harris,link_to,1
Joe Biden,Mike Pence,link_to,1
Joe Biden,John McCain,link_to,1
Joe Biden,Sarah Palin,link_to,1
Joe Biden,Mitt Romney,link_to,1
Joe Biden,Paul Ryan,link_to,1
Joe Biden,Richard Nixon,link_to,1
Joe Biden,Mitch McConnell,link_to,1
Joe Biden,Pete Buttigieg,link_to,1
Joe Biden,Bernie Sanders,link_to,1
Joe Biden,Jens Stoltenberg,link_to,1
Joe Biden,Ronald Reagan,link_to,1
Joe Biden,Ashraf Ghani,link_to,1
Joe Biden,Boris Johnson,link_to,1
Joe Biden,António Guterres,link_to,1
Joe Biden,Anthony Albanese,link_to,1
Joe Biden,Jacinda Ardern,link_to,1
Joe Biden,Kevin McCarthy,link_to,1
Joe Biden,Tập Cận Bình,link_to,1
Joe Biden,John Boehner,link_to,1
Joe Biden,Colin Powell,link_to,1
Joe Biden,Tim Kaine,link_to,1
Joe Biden,Ed Rendell,link_to,1
Joe Biden,Howard Dean,link_to,1
Joe Biden,Richard Mentor Johnson,link_to,1
Joe Biden,George M. Dallas,link_to,1
Joe Biden,William R. King,link_to,1
Joe Biden,Stephen A. Douglas,link_to,1
Joe Biden,Thomas A. Hendricks,link_to,1
Joe Biden,Woodrow Wilson,link_to,1
Joe Biden,Thomas R. Marshall,link_to,1
Joe Biden,John Nance Garner,link_to,1
Joe Biden,Alben W. Barkley,link_to,1
Joe Biden,Lyndon B. Johnson,link_to,1
Joe Biden,Hubert Humphrey,link_to,1
Joe Biden,George McGovern,link_to,1
Joe Biden,Walter Mondale,link_to,1
Joe Biden,Tim Walz,link_to,1
Joe Biden,Thomas Jefferson,link_to,1
Joe Biden,Elbridge Gerry,link_to,1
Joe Biden,John Tyler,link_to,1
Joe Biden,William A. Wheeler,link_to,1
Joe Biden,Theodore Roosevelt,link_to,1
Joe Biden,Charles G. Dawes,link_to,1
Joe Biden,Nelson Rockefeller,link_to,1
Joe Biden,John Quincy Adams,link_to,1
Joe Biden,William Henry Harrison,link_to,1
Joe Biden,Ulysses S. Grant,link_to,1
Joe Biden,Rutherford B. Hayes,link_to,1
Joe Biden,William McKinley,link_to,1
Joe Biden,William Howard Taft,link_to,1
Joe Biden,Warren G. Harding,link_to,1
John Turner,Pierre Trudeau,link_to,1
John Turner,Wilfrid Laurier,link_to,1
John Turner,William Lyon Mackenzie King,link_to,1
John Turner,Kim Campbell,link_to,1
