from,to,type,weight
Édouard Philippe,Trường Quốc gia Hành chính Pháp,alumni_of,1
Condoleezza Rice,Đại học Notre Dame,alumni_of,1
Otto von Bismarck,Đại học Göttingen,alumni_of,1
Manuel Valls,Trường Đại học Paris I,alumni_of,1
Gabriel Attal,Đại học Panthéon-Assas,alumni_of,1
Nicolas Sarkozy,Đại học Paris Nanterre,alumni_of,1
Joseph Goebbels,Đại học Bonn,alumni_of,1
Joseph Goebbels,Đại học Freiburg,alumni_of,1
Joseph Goebbels,Đại học Heidelberg,alumni_of,1
Marine Le Pen,Đại học,alumni_of,1
Marine Le Pen,Trường Đại học Paris II,alumni_of,1
Émile Loubet,Đại học Paris,alumni_of,1
Jean Casimir-Perier,Đại học Paris,alumni_of,1
Raymond Poincaré,Đại học Paris,alumni_of,1
Armand Fallières,Đại học Paris,alumni_of,1
Paul Deschanel,Đại học Paris,alumni_of,1
Gaston Doumergue,Đại học Paris,alumni_of,1
Alexandre Millerand,Đại học Paris,alumni_of,1
Valéry Giscard d'Estaing,Trường Bách khoa Paris,alumni_of,1
Valéry Giscard d'Estaing,Trường Hành chính quốc gia (Pháp),alumni_of,1
Georges Pompidou,École Normale Supérieure,alumni_of,1
François Hollande,Đại học Panthéon-Assas,alumni_of,1
François Hollande,École nationale d'administration,alumni_of,1
Emmanuel Macron,Đại học Paris Nanterre,alumni_of,1
Emmanuel Macron,École nationale d'administration,alumni_of,1
Ishiba Shigeru,Đại học Keio,alumni_of,1
François Mitterrand,Đại học Paris,alumni_of,1
Charles Michel,Đại học Amsterdam,alumni_of,1
Keir Starmer,Đại học Leeds,alumni_of,1
Keir Starmer,Đại học Oxford,alumni_of,1
Robert Abela,Đại học Malta,alumni_of,1
Donald Tusk,Đại học Gdańsk,alumni_of,1
Klaus Iohannis,en:Babeș-Bolyai University,alumni_of,1
Evika Siliņa,Đại học Latvia,alumni_of,1
António Costa,Đại học Lisboa,alumni_of,1
Kyriakos Mitsotakis,Đại học Harvard,alumni_of,1
Mark Rutte,Đại học Leiden,alumni_of,1
Magdalena Andersson,Trường Kinh tế Stockholm,alumni_of,1
Pedro Sánchez,Đại học Complutense Madrid,alumni_of,1
Janez Janša,Đại học Ljubljana,alumni_of,1
Paul Doumer,Đại học Paris,alumni_of,1
Javier Milei,Đại học Belgrano,alumni_of,1
Droupadi Murmu,Đại học nữ sinh Rama Devi,alumni_of,1
Sergio Mattarella,Đại học Sapienza của Rome,alumni_of,1
Andrés Manuel López Obrador,Đại học Tự trị Quốc gia México,alumni_of,1
