src_university,dst_person,relation,year
Đại học Yale,John R. Bolton,ALUMNI_OF,
Đại học Harvard,John Roberts,ALUMNI_OF,
Đại học Sydney,John Howard,ALUMNI_OF,
Đại học Baghdad,Muntadhar al-Zaidi,ALUMNI_OF,
Trường Cao đẳng Bowdoin,Franklin Pierce,ALUMNI_OF,
Trường Luật Northampton,Franklin Pierce,ALUMNI_OF,
Đại học Trung ương Ohio,Warren G. Harding,ALUMNI_OF,
Trường Cao đẳng Hiram,James A. Garfield,ALUMNI_OF,
Trường Cao đẳng Williams,James A. Garfield,ALUMNI_OF,
Đại học Liên bang,Chester A. Arthur,ALUMNI_OF,
Trường Luật Quốc gia và Tiểu bang,Chester A. Arthur,ALUMNI_OF,
Đại học Quốc gia Texas,Lyndon B. Johnson,ALUMNI_OF,
Đại học Xavier,John Boehner,ALUMNI_OF,
Kansas State University,Sam Brownback,ALUMNI_OF,
Đại học Idaho,Sarah Palin,ALUMNI_OF,
Đại học Princeton,Jonathan Dayton,ALUMNI_OF,
Đại học Allegheny,William McKinley,ALUMNI_OF,
Đại học Mount Union,William McKinley,ALUMNI_OF,
Trường Luật Albany,William McKinley,ALUMNI_OF,
Hanover College,Mike Pence,ALUMNI_OF,
Indiana University Robert H. McKinney School of Law,Mike Pence,ALUMNI_OF,
Đại học Halle-Wittenberg,Frederick Muhlenberg,ALUMNI_OF,
Đại học Tiểu bang Louisiana,Mike Johnson,ALUMNI_OF,
Đại học Vanderbilt,John Nance Garner,ALUMNI_OF,
Đại học Bang California tại Bakersfield,Kevin McCarthy,ALUMNI_OF,
Đại học Texas tại Austin,Greg Abbott,ALUMNI_OF,
St. Mary's Episcopal College for Women,Lady Bird Johnson,ALUMNI_OF,
University of Texas at Austin,Lady Bird Johnson,ALUMNI_OF,
Đại học Wesley (Ohio),Lucy Webb Hayes,ALUMNI_OF,
Đại học Delaware,Jill Biden,ALUMNI_OF,
Đại học Villanova,Jill Biden,ALUMNI_OF,
Haverford College,Philip Noel-Baker,ALUMNI_OF,
Đại học Cambridge,Philip Noel-Baker,ALUMNI_OF,
Trường Trung học Tài chính Mokpo,Kim Dae-jung,ALUMNI_OF,
Đại học Cairo,Boutros Boutros-Ghali,ALUMNI_OF,
Đại học Pantheon-Sorbonne,Boutros Boutros-Ghali,ALUMNI_OF,
Đại học Arkansas,J. William Fulbright,ALUMNI_OF,
Đại học Oxford,J. William Fulbright,ALUMNI_OF,
Đại học George Washington,J. William Fulbright,ALUMNI_OF,
Đại học Cornell,Janet Reno,ALUMNI_OF,
Đại học Harvard,Janet Reno,ALUMNI_OF,
Viện Công nghệ Georgia,Sam Nunn,ALUMNI_OF,
Cornell University,Ruth Bader Ginsburg,ALUMNI_OF,
Đại học Harvard,Ruth Bader Ginsburg,ALUMNI_OF,
Đại học Columbia,Ruth Bader Ginsburg,ALUMNI_OF,
Đại học Fordham,Andrew Cuomo,ALUMNI_OF,
Trường luật Albany,Andrew Cuomo,ALUMNI_OF,
Trung học Dương Châu Đại học Trung ương Quốc lập Đại học Giao thông,Giang Trạch Dân,ALUMNI_OF,
Đại học Yale,Bob Woodward,ALUMNI_OF,1965
Đại học Arkansas,Mike Beebe,ALUMNI_OF,
Đại học Arkansas,Asa Hutchinson,ALUMNI_OF,
Dakota Wesleyan University,George McGovern,ALUMNI_OF,
Northwestern University,George McGovern,ALUMNI_OF,
Đại học Minnesota,Walter Mondale,ALUMNI_OF,
Đại học Columbia,Tim Kaine,ALUMNI_OF,
Đại học Harvard,Tim Kaine,ALUMNI_OF,
Học viện Quân sự Frunze,Hosni Mubarak,ALUMNI_OF,
University of Chicago,Bernie Sanders,ALUMNI_OF,
Union College,William H. Seward,ALUMNI_OF,
Đại học Oxford,Dean Rusk,ALUMNI_OF,
Đại học Colgate,William P. Rogers,ALUMNI_OF,
Đại học Columbia,John Jay,ALUMNI_OF,
Đại học Texas tại Austin,Rex Tillerson,ALUMNI_OF,
Đại học Yale,Henry L. Stimson,ALUMNI_OF,
Đại học Harvard,Henry L. Stimson,ALUMNI_OF,
Đại học Pennsylvania,Ed Rendell,ALUMNI_OF,
Transylvania University,Richard Mentor Johnson,ALUMNI_OF,
Đại học Harvard,Antony Blinken,ALUMNI_OF,
Đại học Columbia,Antony Blinken,ALUMNI_OF,
Học viện Quân sự Hoa Kỳ,Mike Pompeo,ALUMNI_OF,
Đại học Harvard,Mike Pompeo,ALUMNI_OF,
Đại học Princeton,George M. Dallas,ALUMNI_OF,
University of North Carolina at Chapel Hill,William R. King,ALUMNI_OF,
Đại học Princeton,John C. Breckinridge,ALUMNI_OF,
Học viện Canandaigua,Stephen A. Douglas,ALUMNI_OF,
Hanover College,Thomas A. Hendricks,ALUMNI_OF,
Illinois Wesleyan University,Adlai Stevenson I,ALUMNI_OF,
Centre College,Adlai Stevenson I,ALUMNI_OF,
Wabash College,Thomas R. Marshall,ALUMNI_OF,
University of Virginia,Alben W. Barkley,ALUMNI_OF,
Đại học Minnesota,Hubert Humphrey,ALUMNI_OF,
Đại học Tiểu bang Iowa,Henry A. Wallace,ALUMNI_OF,
