src_university,dst_person,relation,year
Trường Roundhay,Liz Truss,ALUMNI_OF,
Đại học Oxford,Liz Truss,ALUMNI_OF,
Đại học Damascus,Mahmoud Abbas,ALUMNI_OF,
Đại học Haifa,Yoav Gallant,ALUMNI_OF,
Đại học Stockholm,Carl Bildt,ALUMNI_OF,
Học viện Quân sự Liban,Michel Suleiman,ALUMNI_OF,
Đại học Liban,Michel Suleiman,ALUMNI_OF,
Đại học Yale,Oliver Wolcott Jr.,ALUMNI_OF,
Đại học Pennsylvania,Beau Biden,ALUMNI_OF,
Đại học Georgetown,Hunter Biden,ALUMNI_OF,
Đại học Yale,Hunter Biden,ALUMNI_OF,
Đại học Yale,Jay Carney,ALUMNI_OF,
Đại học Louisville,Mitch McConnell,ALUMNI_OF,
Đại học Kentucky,Mitch McConnell,ALUMNI_OF,
Đại học Oslo,Jens Stoltenberg,ALUMNI_OF,
Đại học Harvard,Pete Buttigieg,ALUMNI_OF,
Đại học Columbia,Ashraf Ghani,ALUMNI_OF,
Đại học Lisboa,António Guterres,ALUMNI_OF,
Đại học Waikato,Jacinda Ardern,ALUMNI_OF,
Đại học Sydney,Anthony Albanese,ALUMNI_OF,
University of London,Thabo Mbeki,ALUMNI_OF,
Đại học Nam Phi,Ahmed Kathrada,ALUMNI_OF,
Đại học Simon Fraser,Pakalitha Mosisili,ALUMNI_OF,
Đại học Oslo,Gro Harlem Brundtland,ALUMNI_OF,
Đại học Harvard,Gro Harlem Brundtland,ALUMNI_OF,
Học viện Chiến tranh Chile,Augusto Pinochet,ALUMNI_OF,
Học viện Hoàng gia Nghệ thuật Sân khấu,Richard Attenborough,ALUMNI_OF,
Đại học Parkwood,George Weah,ALUMNI_OF,
Đại học DeVry,George Weah,ALUMNI_OF,
Đại học Princeton,Richard Rush,ALUMNI_OF,
Đại học Toronto,Eugenia Charles,ALUMNI_OF,
Trường Kinh tế và Khoa học Chính trị London,Eugenia Charles,ALUMNI_OF,
Đại học Columbia,Milton Friedman,ALUMNI_OF,1946
Đại học Chicago,Milton Friedman,ALUMNI_OF,1946
Đại học Harvard,Robert Solow,ALUMNI_OF,
Đại học Georgetown,Antonin Scalia,ALUMNI_OF,
St. Francis Xavier University,Brian Mulroney,ALUMNI_OF,
Dalhousie University,Brian Mulroney,ALUMNI_OF,
- Đại học dầu khí khoáng sản vua Fahd,Ghazi Mashal Ajil al-Yawer,ALUMNI_OF,
- Đại học Hoa Kỳ,Ghazi Mashal Ajil al-Yawer,ALUMNI_OF,
- Đại học George Washington,Ghazi Mashal Ajil al-Yawer,ALUMNI_OF,
Đại học La Habana,Fidel Castro,ALUMNI_OF,
Đại học Stanford,Gray Davis,ALUMNI_OF,
Đại học Columbia,Gray Davis,ALUMNI_OF,
"Đại học California, Berkeley",Earl Warren,ALUMNI_OF,
Đại học Warszawa,Lech Kaczyński,ALUMNI_OF,
Đại học Gdańsk,Lech Kaczyński,ALUMNI_OF,
Đại học Stanford,Goodwin Knight,ALUMNI_OF,
Đại học Santa Clara,Gavin Newsom,ALUMNI_OF,
Đại học Harvard,Pierre Trudeau,ALUMNI_OF,
Viện Nghiên cứu Chính trị Paris,Pierre Trudeau,ALUMNI_OF,
Trường Kinh tế London,Pierre Trudeau,ALUMNI_OF,
Williams College,Herbert H. Lehman,ALUMNI_OF,
Viện quân sự Virginia,Ralph Northam,ALUMNI_OF,
Trường Y Đông Virginia,Ralph Northam,ALUMNI_OF,
Đại học San Juan de Letran,Manuel L. Quezon,ALUMNI_OF,
Đại học Santo Tomas,Manuel L. Quezon,ALUMNI_OF,
Đại học Oxford,Christopher Hitchens,ALUMNI_OF,
Đại học Harvard,Samuel Dexter,ALUMNI_OF,
Đại học Geneva,Albert Gallatin,ALUMNI_OF,
Trường Hannover,Eric Holcomb,ALUMNI_OF,
Đại học Auburn,Bill Lee,ALUMNI_OF,
Đại học Harvard,Theodore Roosevelt Jr.,ALUMNI_OF,
École nationale supérieure des Beaux-Arts,John Singer Sargent,ALUMNI_OF,
Học viện Julian,John Singer Sargent,ALUMNI_OF,
Học viện Mỹ thuật Florence,John Singer Sargent,ALUMNI_OF,
Đại học Công giáo Hoa Kỳ,Jim McGreevey,ALUMNI_OF,
Đại học Columbia,Jim McGreevey,ALUMNI_OF,
Đại học Georgetown,Jim McGreevey,ALUMNI_OF,
Đại học Harvard,Jim McGreevey,ALUMNI_OF,
Đại học Harvard,Phil Murphy,ALUMNI_OF,
Đại học Pennsylvania,Phil Murphy,ALUMNI_OF,
Đại học Marquette,Joseph McCarthy,ALUMNI_OF,
Học viện bộ binh Toledo,Francisco Franco,ALUMNI_OF,
Trường Võ bị Liên quân Saint-Cyr,Jean de Lattre de Tassigny,ALUMNI_OF,
Đại học Princeton,Allen Dulles,ALUMNI_OF,
Đại học George Washington,Allen Dulles,ALUMNI_OF,
Trường Trung học phổ thông chuyên Quốc Học,Ngô Đình Diệm,ALUMNI_OF,
Trường Hậu bổ (Hà Nội),Ngô Đình Diệm,ALUMNI_OF,
Đại học Michigan,Ngô Đình Diệm,ALUMNI_OF,
Đại học Yale,Prescott Bush,ALUMNI_OF,
Học viện Ngoại giao Viên,Kurt Waldheim,ALUMNI_OF,
Đại học Stockholm,Olof Palme,ALUMNI_OF,
Kenyon College,Edwin Stanton,ALUMNI_OF,
Đại học Dartmouth,Thaddeus Stevens,ALUMNI_OF,
Đại học Vermont,Thaddeus Stevens,ALUMNI_OF,
Colby College,Benjamin Butler,ALUMNI_OF,
Đại học Harvard,Henry Cabot Lodge Jr.,ALUMNI_OF,
Đại học Harvard,Robert F. Kennedy,ALUMNI_OF,
Đại học Virginia,Robert F. Kennedy,ALUMNI_OF,
Manhattanville College,Jean Kennedy Smith,ALUMNI_OF,
"University of California, Berkeley",Robert McNamara,ALUMNI_OF,
Trường Pellerin (1904–1908) Tiểu chủng viện Sài Gòn (1909–1917) Đại Chủng viện Phú Xuân (1917–1919) Đại học Truyền giáo Urbaniana,Phêrô Máctinô Ngô Đình Thục,ALUMNI_OF,1904
Rôma (1919–1925) Đại học Appolinaire (1925–1927),Phêrô Máctinô Ngô Đình Thục,ALUMNI_OF,1919
Trường Trung học Albert Sarraut,Trần Lệ Xuân,ALUMNI_OF,
"Trường Trung học phổ thông Chu Văn An, Hà Nội",Vũ Văn Mẫu,ALUMNI_OF,
Trường Trung học Albert Sarraut,Vũ Văn Mẫu,ALUMNI_OF,
PSL Research University,Ngô Đình Nhu,ALUMNI_OF,
Pháp -Trường Đại học tại Paris,Lê Văn Kim,ALUMNI_OF,
Trường Trung học phổ thông Nguyễn Đình Chiểu (Tiền Giang),Dương Văn Minh,ALUMNI_OF,
Trường Trung học phổ thông chuyên Quốc Học – Huế,Nguyễn Hữu Có,ALUMNI_OF,
Trường Trung học chương trình Pháp tại Cần Thơ Trường Võ bị Liên quân Viễn Đông Đà Lạt Học viện Quân sự Coetquidan và Võ bị Saint Cyr,Nguyễn Khánh,ALUMNI_OF,
Đại học Harvard,David Halberstam,ALUMNI_OF,
Sơn Tây -Trường Cao đẳng Quốc phòng (École Supérieure de Geurre) tại Paris,Trần Văn Đôn,ALUMNI_OF,
-Trường Trung học Phổ thông ở Huế -Trường Võ bị Quốc gia tại Huế -Trường Kỵ binh Saumur (École de cavalerie de Saumur),Tôn Thất Đính,ALUMNI_OF,
Trường Võ bị Quốc gia Đà Lạt,Nguyễn Văn Thiệu,ALUMNI_OF,
Đại học Nam Khai,Chu Ân Lai,ALUMNI_OF,
Đại học Strasbourg,Klemens von Metternich,ALUMNI_OF,
Học viện Sư phạm Đệ nhất Hồ Nam,Mao Trạch Đông,ALUMNI_OF,
Đại học Georgetown,Laura Chinchilla,ALUMNI_OF,
Đại học McGill,Zbigniew Brzezinski,ALUMNI_OF,
Đại học Harvard,Zbigniew Brzezinski,ALUMNI_OF,
Đại học Harvard,James R. Schlesinger,ALUMNI_OF,
Đại học Georgia,Brian Kemp,ALUMNI_OF,
Đại học Cairo,Adly Mansour,ALUMNI_OF,
École nationale d'administration,Adly Mansour,ALUMNI_OF,
Đại học Kyoto,Ikeda Hayato,ALUMNI_OF,
Đại học Nam California,Miki Takeo,ALUMNI_OF,
Đại học Tokyo,Kishi Nobusuke,ALUMNI_OF,
Đại học Tokyo,Yoshida Shigeru,ALUMNI_OF,
Đại học Seikei,Abe Shinzō,ALUMNI_OF,
Đại học Nam California,Abe Shinzō,ALUMNI_OF,
Đại học Tokyo,Katayama Tetsu,ALUMNI_OF,
Đại học Tokyo,Fukuda Takeo,ALUMNI_OF,
Đại học Philippines,Ferdinand Marcos,ALUMNI_OF,
Đại học Waseda,Kōno Yōhei,ALUMNI_OF,
Đại học Waseda,Takeshita Noboru,ALUMNI_OF,
Đại học London,Itō Hirobumi,ALUMNI_OF,
Đại học Paris,Saionji Kinmochi,ALUMNI_OF,
Đại học Tokyo,Hara Takashi,ALUMNI_OF,
Đại học Tokyo,Katō Takaaki,ALUMNI_OF,
Học viện Hải quân Đế quốc Nhật Bản,Katō Tomosaburō,ALUMNI_OF,
Đại học Tokyo,Wakatsuki Reijirō,ALUMNI_OF,
Học viện Lục quân Đế quốc Nhật Bản,Tanaka Giichi,ALUMNI_OF,
Đại học Chiến tranh Lục quân (Nhật Bản),Tanaka Giichi,ALUMNI_OF,
Đại học Keio,Inukai Tsuyoshi,ALUMNI_OF,
Học viện Hải quân Đế quốc Nhật Bản,Saitō Makoto,ALUMNI_OF,
Đại học Tokyo,Gotō Fumio,ALUMNI_OF,
Đại học Tokyo,Hiranuma Kiichirō,ALUMNI_OF,
Học viện Lục quân Đế quốc Nhật Bản,Abe Nobuyuki,ALUMNI_OF,
Đại học Chiến tranh Lục quân (Nhật Bản),Abe Nobuyuki,ALUMNI_OF,
Đại học Tokyo,Itō Masayoshi,ALUMNI_OF,
Đại học Waseda,Mori Yoshirō,ALUMNI_OF,
Học viện Công nghệ Tokyo,Kan Naoto,ALUMNI_OF,
Đại học Waseda,Fukuda Yasuo,ALUMNI_OF,
Đại học Stanford,Asō Tarō,ALUMNI_OF,
Trường Kinh tế và Khoa học Chính trị London,Asō Tarō,ALUMNI_OF,
Đại học Tokyo,Hatoyama Yukio,ALUMNI_OF,
Đại học Stanford,Hatoyama Yukio,ALUMNI_OF,
Đại học Hồng Kông,Hatoyama Yukio,ALUMNI_OF,
Đại học Waseda,Noda Yoshihiko,ALUMNI_OF,
Đại học Hosei,Suga Yoshihide,ALUMNI_OF,
Đại học Waseda,Kishida Fumio,ALUMNI_OF,
Đại học Dartmouth,Paavo Lipponen,ALUMNI_OF,
Đại học Helsinki,Paavo Lipponen,ALUMNI_OF,
Đại học Helsinki,Tarja Halonen,ALUMNI_OF,
Đại học Kobe,Takaichi Sanae,ALUMNI_OF,
Đại học Tiểu bang Kansas,Joseph Boakai,ALUMNI_OF,
Đại học Eden Mohila,Sheikh Hasina,ALUMNI_OF,
Đại học Dhaka,Sheikh Hasina,ALUMNI_OF,
Đại học Peking,Mulatu Teshome,ALUMNI_OF,
Đại học Addis Ababa,Hailemariam Desalegn,ALUMNI_OF,
Đại học Arba Minch,Hailemariam Desalegn,ALUMNI_OF,
Đại học Công nghệ Tampere,Hailemariam Desalegn,ALUMNI_OF,
Đại học Thái Bình Dương Azusa,Hailemariam Desalegn,ALUMNI_OF,
Duke University,Andrew Giuliani,ALUMNI_OF,
Đại học Johns Hopkins,Michael Bloomberg,ALUMNI_OF,
Đại học,Michael Bloomberg,ALUMNI_OF,
Đại học Harvard,Michael Bloomberg,ALUMNI_OF,
Đại học Georgetown,Iván Duque Márquez,ALUMNI_OF,
Đại học Cambridge,Rajiv Gandhi,ALUMNI_OF,
Đại học Beograd,Slobodan Milošević,ALUMNI_OF,
Đại học Rangoon,Ne Win,ALUMNI_OF,
Đại học Công nghệ Séc ở Praha,Václav Havel,ALUMNI_OF,
Đại học Tirana,Sali Berisha,ALUMNI_OF,
Open University,Meles Zenawi,ALUMNI_OF,
Erasmus University Rotterdam,Meles Zenawi,ALUMNI_OF,
Trường Đại học Philippines,Rodrigo Duterte,ALUMNI_OF,
Trường luật San Beda,Rodrigo Duterte,ALUMNI_OF,
Học viện Hải quân Hoa Kỳ,Robert A. Heinlein,ALUMNI_OF,
Đại học Nhà vua Luân Đôn,Arthur C. Clarke,ALUMNI_OF,
Đại học London,Htin Kyaw,ALUMNI_OF,
Đại học Yangon,Win Myint,ALUMNI_OF,
Đại học Yangon,Min Aung Hlaing,ALUMNI_OF,
Đại học Yangon,Aung San,ALUMNI_OF,
University of Southern California,Jim Webb,ALUMNI_OF,
Georgetown University,Jim Webb,ALUMNI_OF,
Đại học Chiang Mai,Yingluck Shinawatra,ALUMNI_OF,
Đại học Bang Kentucky,Yingluck Shinawatra,ALUMNI_OF,
University of Missouri–Kansas City,Rick Scott,ALUMNI_OF,
Southern Methodist University,Rick Scott,ALUMNI_OF,
Cao đẳng Tarkio Cao đẳng Santa Fe Đại học Florida Đại học Miami,Marco Rubio,ALUMNI_OF,
Đại học Massachusetts Boston,Janet Mills,ALUMNI_OF,
Đại học Maine,Janet Mills,ALUMNI_OF,
Đại học Harvard,Ned Lamont,ALUMNI_OF,
Đại học Yale,Ned Lamont,ALUMNI_OF,
Đại học Harvard,Daniel McKee,ALUMNI_OF,
Viện Công nghệ Massachusetts,Chris Sununu,ALUMNI_OF,
Đại học Vermont,Phil Scott,ALUMNI_OF,
Đại học Dartmouth,Tom Wolf,ALUMNI_OF,
Đại học London,Tom Wolf,ALUMNI_OF,
Viện Công nghệ Massachusetts,Tom Wolf,ALUMNI_OF,
Đại học Duke,J. B. Pritzker,ALUMNI_OF,
Đại học Bradley,Laura Kelly,ALUMNI_OF,
Đại học Indiana,Laura Kelly,ALUMNI_OF,
Đại học Tây Bắc Iowa,Kim Reynolds,ALUMNI_OF,
Đại học Bang Iowa,Kim Reynolds,ALUMNI_OF,
Đại học bang Michigan,Gretchen Whitmer,ALUMNI_OF,
Đại học Stanford,Doug Burgum,ALUMNI_OF,
Đại học Chicago,Pete Ricketts,ALUMNI_OF,
Đại học Miami,Mike DeWine,ALUMNI_OF,
Đại học Auburn (BA),Kay Ivey,ALUMNI_OF,
Đại học Wisconsin-Madison,Tony Evers,ALUMNI_OF,
Đại học Dartmouth,John Carney,ALUMNI_OF,
Đại học Delaware,John Carney,ALUMNI_OF,
Đại học Virginia,Andy Beshear,ALUMNI_OF,
Học viện Quân sự Hoa Kỳ,John Bel Edwards,ALUMNI_OF,
Trường Millsaps (BA),Tate Reeves,ALUMNI_OF,
Đại học Bang Florida,Larry Hogan,ALUMNI_OF,
Đại học Bang Oklahoma,Kevin Stitt,ALUMNI_OF,
Đại học North Carolina tại Chapel Hill,Roy Cooper,ALUMNI_OF,
Đại học Marshall,Jim Justice,ALUMNI_OF,
Đại học South Carolina,Henry McMaster,ALUMNI_OF,
Đại học Princeton,Jared Polis,ALUMNI_OF,
Đại học Misericordia,Mike Dunleavy,ALUMNI_OF,
Đại học Alaska Fairbanks,Mike Dunleavy,ALUMNI_OF,
Đại học Bang Arizona,Doug Ducey,ALUMNI_OF,
"Đại học Hawaii, Manoa",David Ige,ALUMNI_OF,
Đại học Idaho,Brad Little,ALUMNI_OF,
Đại học New Mexico,Michelle Lujan Grisham,ALUMNI_OF,
Đại học Wisconsin – Milwaukee,Steve Sisolak,ALUMNI_OF,
"Đại học Nevada, Las Vegas",Steve Sisolak,ALUMNI_OF,
Viện Công nghệ Stevens,Greg Gianforte,ALUMNI_OF,
Đại học Colorado Boulder,Kate Brown,ALUMNI_OF,
Snow College,Spencer Cox,ALUMNI_OF,
Đại học Bang Utah,Spencer Cox,ALUMNI_OF,
Đại học Washington and Lee,Spencer Cox,ALUMNI_OF,
Đại học Washington,Jay Inslee,ALUMNI_OF,
Đại học Middlebury,Mark Gordon (chính trị gia),ALUMNI_OF,
Đại học Harvard,Peter Navarro,ALUMNI_OF,
Trường Đại học Houghton,Deborah Birx,ALUMNI_OF,
Đại học Cornell,Anthony Fauci,ALUMNI_OF,
Đại học Georgetown,Robert R. Redfield,ALUMNI_OF,
"Đại học California, Berkeley",Jerome Adams,ALUMNI_OF,
Đại học Harvard,Brett Giroir,ALUMNI_OF,
Đại học Ludwig Maximilian Munich,Theodor Heuss,ALUMNI_OF,
Đại học Paris,Michel Debré,ALUMNI_OF,
École nationale supérieure des mines de Paris,Alain Poher,ALUMNI_OF,
École normale supérieure,Henri Bergson,ALUMNI_OF,
Đại học Paris,Henri Bergson,ALUMNI_OF,
Đại học Kỹ thuật Quốc gia Donetsk,Viktor Fedorovych Yanukovych,ALUMNI_OF,
Đại học Sogang,Park Geun-hye,ALUMNI_OF,
Đại học Tổng hợp Sankt-Peterburg,Lyudmila Aleksandrovna Putina,ALUMNI_OF,
Đại học Nam California,Doug Emhoff,ALUMNI_OF,
Đại học Colorado Boulder,Mark Leno,ALUMNI_OF,
Jerusalem University College,Mark Leno,ALUMNI_OF,
Hebrew Union College,Mark Leno,ALUMNI_OF,
Đại học Yale,Steven Mnuchin,ALUMNI_OF,
Đại học Georgetown,Jon Ossoff,ALUMNI_OF,
Trường Kinh tế Luân Đôn,Jon Ossoff,ALUMNI_OF,
Đại học George Washington,Elizabeth Warren,ALUMNI_OF,
Đại học Harvard,Paul Samuelson,ALUMNI_OF,
Đại học Chicago,Paul Samuelson,ALUMNI_OF,
Đại học Columbia,Kenneth Arrow,ALUMNI_OF,
Viện Công nghệ Massachusetts,Lawrence Klein,ALUMNI_OF,
"Đại học California, Berkeley",Lawrence Klein,ALUMNI_OF,
Đại học Harvard,James Tobin,ALUMNI_OF,
Đại học Harvard,Michael Spence,ALUMNI_OF,
Đại học Oxford,Michael Spence,ALUMNI_OF,
Đại học Princeton,Michael Spence,ALUMNI_OF,
Đại học Princeton,David Card,ALUMNI_OF,
Đại học Princeton,James Heckman,ALUMNI_OF,
Đại học Princeton,Gary Becker,ALUMNI_OF,
Đại học Chicago,Gary Becker,ALUMNI_OF,
Viện Công nghệ Massachusetts,Joseph Stiglitz,ALUMNI_OF,
Trường Kinh tế và Khoa học Chính trị Luân Đôn,Daron Acemoğlu,ALUMNI_OF,
École normale supérieure,Esther Duflo,ALUMNI_OF,
Viện Công nghệ Massachusetts,Esther Duflo,ALUMNI_OF,
Đại học Melbourne,Robert Menzies,ALUMNI_OF,
Đại học Kiel,Theodor Mommsen,ALUMNI_OF,
Trường Cao đẳng Kỹ sư Xây dựng,José Echegaray,ALUMNI_OF,
Đại học Ludwig Maximilian München,Thomas Mann,ALUMNI_OF,
Đại học Kỹ thuật München,Thomas Mann,ALUMNI_OF,
Đại học Bonn,Luigi Pirandello,ALUMNI_OF,
École du Louvre,Roger Martin du Gard,ALUMNI_OF,
Đại học Graz,Ivo Andrić,ALUMNI_OF,
Đại học Viên,Ivo Andrić,ALUMNI_OF,
Đại học Paris,Miguel Ángel Asturias,ALUMNI_OF,
Đại học Cologne,Heinrich Böll,ALUMNI_OF,
Đại học Viên,Elias Canetti,ALUMNI_OF,
University of Athens,Odysseas Elytis,ALUMNI_OF,
Đại học Oxford,William Golding,ALUMNI_OF,
Đại học Cartagena,Gabriel García Márquez,ALUMNI_OF,
Trung tâm Đại học Villanueva,Camilo José Cela,ALUMNI_OF,
Đại học Ngoại ngữ Bắc Kinh,Cao Hành Kiện,ALUMNI_OF,
Trường Trung học Kim Lăng,Cao Hành Kiện,ALUMNI_OF,
Trường Đảng Trung ương (Đảng Cộng sản Trung Quốc),Bạc Nhất Ba,ALUMNI_OF,
Trường quân sự Hoàng Phố,Diệp Kiếm Anh,ALUMNI_OF,
Đại học Quân sự và Chính trị chống Nhật,Dương Đắc Chí,ALUMNI_OF,
Học viện Quân sự Quân Giải phóng Nhân dân Trung Hoa,Dương Đắc Chí,ALUMNI_OF,
Đại học Tôn Dật Tiên Moskva,Tưởng Kinh Quốc,ALUMNI_OF,
Trường đại học Tây Y Hồng Kông cho người Hoa,Tôn Trung Sơn,ALUMNI_OF,
Đại học Waseda,Trần Độc Tú,ALUMNI_OF,
Đại học Chiết Giang,Lý Cường,ALUMNI_OF,
Đại học Bách khoa Hồng Kông,Lý Cường,ALUMNI_OF,
Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,Lý Cường,ALUMNI_OF,
Đại học Bắc Kinh,Triệu Lạc Tế,ALUMNI_OF,
Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,Triệu Lạc Tế,ALUMNI_OF,
Đại học Phục Đán,Vương Hỗ Ninh,ALUMNI_OF,
Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,Thái Kỳ,ALUMNI_OF,
Đại học Phục Đán,Đinh Tiết Tường,ALUMNI_OF,
Đại học Thanh Hoa,Lý Hi,ALUMNI_OF,
Đại học Tứ Xuyên,Trần Văn Thanh (chính khách Trung Quốc),ALUMNI_OF,
Đại học Hạ Môn,Hà Lập Phong,ALUMNI_OF,
Đại học Thanh Hoa,Lý Cán Kiệt,ALUMNI_OF,
Đại học Bắc Kinh,Lý Thư Lỗi,ALUMNI_OF,
Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,Lý Thư Lỗi,ALUMNI_OF,
Đại học Bắc Kinh,Thạch Thái Phong,ALUMNI_OF,
Đại học Quốc phòng Trung Quốc,Hà Vệ Đông,ALUMNI_OF,
Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,Hà Vệ Đông,ALUMNI_OF,
Đại học Thanh Hoa,Trương Quốc Thanh,ALUMNI_OF,
Đại học Harvard,Trương Quốc Thanh,ALUMNI_OF,
Đại học Harvard,Trương Quốc Thanh,ALUMNI_OF,
Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,Trương Quốc Thanh,ALUMNI_OF,
Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,Vương Tiểu Hồng,ALUMNI_OF,
Đại học Công nghiệp Cáp Nhĩ Tân,Lưu Quốc Trung,ALUMNI_OF,
Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,Thầm Di Cầm,ALUMNI_OF,
Đại học Trung Bắc,Ngô Chính Long,ALUMNI_OF,
University of Dar es Salaam,Asha-Rose Migiro,ALUMNI_OF,
University of Konstanz,Asha-Rose Migiro,ALUMNI_OF,
Đại học Gothenburg,Jan Eliasson,ALUMNI_OF,
Đại học Quốc gia Seoul,Lee Hae-chan,ALUMNI_OF,
Đại học Göttingen,Richard von Weizsäcker,ALUMNI_OF,
Đại học Ludwig Maximilian Munich,Roman Herzog,ALUMNI_OF,
Đại học Bonn,Friedrich Merz,ALUMNI_OF,
Đại học Marburg,Friedrich Merz,ALUMNI_OF,
Đại học Wrocław,Mateusz Morawiecki,ALUMNI_OF,
Đại học Hamburg,Mateusz Morawiecki,ALUMNI_OF,
Đại học Basel,Mateusz Morawiecki,ALUMNI_OF,
École normale supérieure,Thomas Piketty,ALUMNI_OF,
École nationale d'administration,Alain Juppé,ALUMNI_OF,
École nationale d'administration,Dominique de Villepin,ALUMNI_OF,
Trường Hành chính quốc gia (Pháp),Laurent Fabius,ALUMNI_OF,
École nationale d'administration,Michel Rocard,ALUMNI_OF,
Đại học George Washington,Faure Gnassingbé,ALUMNI_OF,
Đại học Laval,Jean Chrétien,ALUMNI_OF,
Đại học Paris,Charles-Maurice de Talleyrand-Périgord,ALUMNI_OF,
École Polytechnique,François Arago,ALUMNI_OF,
Đại học Nantes,Georges Clemenceau,ALUMNI_OF,
Đại học Maine (Pháp),François Fillon,ALUMNI_OF,
Đại học Paris Descartesy,François Fillon,ALUMNI_OF,
Đại học Nantes,Jean-Marc Ayrault,ALUMNI_OF,
Viện Nghiên cứu Chính trị Bordeaux,Bernard Cazeneuve,ALUMNI_OF,
Đại học Truyền giáo Sikh Shaheed,Zail Singh,ALUMNI_OF,
Đại học Ljubljana,Janez Drnovšek,ALUMNI_OF,
Đại học Paris,Pierre Mendès France,ALUMNI_OF,
Đại học Luân Đôn,Emmerson Mnangagwa,ALUMNI_OF,
Đại học Zambia,Emmerson Mnangagwa,ALUMNI_OF,
Paris West University Nanterre La Défense,Christine Lagarde,ALUMNI_OF,
Đại học Jagiellonian,Elżbieta Bieńkowska,ALUMNI_OF,
Trường kinh tế SGH Warsaw,Elżbieta Bieńkowska,ALUMNI_OF,
Đại học Geneva,José Manuel Barroso,ALUMNI_OF,
Đại học Strasbourg,Jean-Claude Juncker,ALUMNI_OF,
Università Cattolica del Sacro Cuore,Romano Prodi,ALUMNI_OF,
Trường Kinh tế London,Romano Prodi,ALUMNI_OF,
Đại học Toulouse,Richard Ferrand,ALUMNI_OF,
Đại học Paris Descartes,Richard Ferrand,ALUMNI_OF,
Đại học Poitiers,Stéphane Séjourné,ALUMNI_OF,
Đại học Paris Nanterre,Dominique Strauss-Kahn,ALUMNI_OF,
Technische Universität München,Heinrich Himmler,ALUMNI_OF,
Đại học Graz,Ernst Kaltenbrunner,ALUMNI_OF,
Radcliffe College,Helen Keller,ALUMNI_OF,
Winchester College,Antony Beevor,ALUMNI_OF,
Royal Military Academy Sandhurst,Antony Beevor,ALUMNI_OF,
Đại học München,Wilhelm Frick,ALUMNI_OF,
Đại học Göttingen,Wilhelm Frick,ALUMNI_OF,
Đại học Berlin,Wilhelm Frick,ALUMNI_OF,
Đại học Heidelberg,Wilhelm Frick,ALUMNI_OF,
Đại học Kỹ thuật Berlin,Albert Speer,ALUMNI_OF,
Đại học Kỹ thuật München,Albert Speer,ALUMNI_OF,
Đại học Kỹ thuật Quốc gia Moskva Bauman,Alfred Rosenberg,ALUMNI_OF,
Đại học Munich,Rudolf Hess,ALUMNI_OF,
Đại học Bonn,Josef Mengele,ALUMNI_OF,
Đại học Ludwig Maximilian München,Josef Mengele,ALUMNI_OF,
Đại học Goethe Frankfurt,Josef Mengele,ALUMNI_OF,
Đại học Limpopo,Cyril Ramaphosa,ALUMNI_OF,
Đại học Nam Phi,Cyril Ramaphosa,ALUMNI_OF,
Đại học Công giáo Leuven,Herman Van Rompuy,ALUMNI_OF,
Đại học Meiji,Shindō Yoshitaka,ALUMNI_OF,
Đại học Tokyo,Tanigaki Sadakazu,ALUMNI_OF,
Đại học Tokyo,Machimura Nobutaka,ALUMNI_OF,
Đại học Wesleyan,Machimura Nobutaka,ALUMNI_OF,
Đại học Tokyo,Hayashi Yoshimasa,ALUMNI_OF,
Đại học Keio,Ishiba Yoshiko,ALUMNI_OF,
Học viện Phòng vệ Nhật Bản,Nakatani Gen,ALUMNI_OF,
Đại học Tokyo,Miyazawa Kiichi,ALUMNI_OF,
Đại học Keio,Koizumi Junichirō,ALUMNI_OF,
Đại học London,Koizumi Junichirō,ALUMNI_OF,
Đại học Columbia,Koizumi Shinjirō,ALUMNI_OF,
Học viện Quan hệ Quốc tế,Phạm Minh Chính,ALUMNI_OF,
Trường Đại học Hà Nội,Phạm Minh Chính,ALUMNI_OF,
Đại học Xây dựng Bucarest,Phạm Minh Chính,ALUMNI_OF,
Học viện Chính trị Quốc gia Hồ Chí Minh,Phạm Minh Chính,ALUMNI_OF,
Đại học Paris,Carole Bouquet,ALUMNI_OF,
Đại học Leeds,Elio Di Rupo,ALUMNI_OF,
London Metropolitan University,Jeremy Corbyn,ALUMNI_OF,
Đại học North London,Jeremy Corbyn,ALUMNI_OF,
Trường Castle House,Jeremy Corbyn,ALUMNI_OF,
Trường Adams' Grammar,Jeremy Corbyn,ALUMNI_OF,
University of Malta,Joseph Muscat,ALUMNI_OF,
University of Bristol,Joseph Muscat,ALUMNI_OF,
Đại học Warszawa,Bronisław Komorowski,ALUMNI_OF,
Đại học Wrocław,Grzegorz Schetyna,ALUMNI_OF,
Đại học Công giáo John Paul II Lublin,Bogdan Borusewicz,ALUMNI_OF,
Đại học London,Jacek Rostowski,ALUMNI_OF,
Trường Kinh tế London,Jacek Rostowski,ALUMNI_OF,
