src_person,dst_person,relation
Alexandre Millerand,Nicolas Sarkozy,LINKS_TO
Alexandre Millerand,François Hollande,LINKS_TO
Alexandre Millerand,Emmanuel Macron,LINKS_TO
Alec Douglas-Home,Harold Macmillan,LINKS_TO
Alec Douglas-Home,Harold Wilson,LINKS_TO
Alec Douglas-Home,James Callaghan,LINKS_TO
Alec Douglas-Home,Robert Walpole,LINKS_TO
Alec Douglas-Home,George Grenville,LINKS_TO
Alec Douglas-Home,William Pitt Trẻ,LINKS_TO
Alec Douglas-Home,"Henry Addington, Tử tước Sidmouth thứ 1",LINKS_TO
Alec Douglas-Home,Spencer Perceval,LINKS_TO
Alec Douglas-Home,George Canning,LINKS_TO
Alec Douglas-Home,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",LINKS_TO
Alec Douglas-Home,"Henry John Temple, Tử tước Palmerston thứ 3",LINKS_TO
Alec Douglas-Home,Stanley Baldwin,LINKS_TO
Alec Douglas-Home,Ramsay MacDonald,LINKS_TO
Alec Douglas-Home,Neville Chamberlain,LINKS_TO
Alec Douglas-Home,Winston Churchill,LINKS_TO
Alec Douglas-Home,Clement Attlee,LINKS_TO
Alec Douglas-Home,Anthony Eden,LINKS_TO
Alec Douglas-Home,Margaret Thatcher,LINKS_TO
Alec Douglas-Home,Gordon Brown,LINKS_TO
Alec Douglas-Home,David Cameron,LINKS_TO
Alec Douglas-Home,Theresa May,LINKS_TO
Alec Douglas-Home,Boris Johnson,LINKS_TO
Alec Douglas-Home,Liz Truss,LINKS_TO
Alec Douglas-Home,Rishi Sunak,LINKS_TO
Alec Douglas-Home,Keir Starmer,LINKS_TO
Aldo Moro,Giulio Andreotti,LINKS_TO
Aldo Moro,Giuseppe Saragat,LINKS_TO
Aldo Moro,Bettino Ricasoli,LINKS_TO
Aldo Moro,Urbano Rattazzi,LINKS_TO
Aldo Moro,Francesco Crispi,LINKS_TO
Aldo Moro,Giovanni Giolitti,LINKS_TO
Aldo Moro,Luigi Luzzatti,LINKS_TO
Aldo Moro,Antonio Salandra,LINKS_TO
Aldo Moro,Alcide De Gasperi,LINKS_TO
Aldo Moro,Francesco Cossiga,LINKS_TO
Aldo Moro,Arnaldo Forlani,LINKS_TO
Aldo Moro,Giovanni Spadolini,LINKS_TO
Aldo Moro,Bettino Craxi,LINKS_TO
Aldo Moro,Giuliano Amato,LINKS_TO
Aldo Moro,Silvio Berlusconi,LINKS_TO
Aldo Moro,Lamberto Dini,LINKS_TO
Aldo Moro,Romano Prodi,LINKS_TO
Aldo Moro,Mario Monti,LINKS_TO
Aldo Moro,Enrico Letta,LINKS_TO
Aldo Moro,Matteo Renzi,LINKS_TO
Aldo Moro,Paolo Gentiloni,LINKS_TO
Aldo Moro,Giuseppe Conte,LINKS_TO
Aldo Moro,Mario Draghi,LINKS_TO
Alexander Schallenberg,Alexander Van der Bellen,LINKS_TO
Alexander Schallenberg,Sebastian Kurz,LINKS_TO
Alexander Schallenberg,Karl Nehammer,LINKS_TO
Alexander Schallenberg,Brigitte Bierlein,LINKS_TO
Alexander Schallenberg,Werner Faymann,LINKS_TO
Alexander Schallenberg,Christian Kern,LINKS_TO
Alexander Schallenberg,Hartwig Löger,LINKS_TO
