src_person,dst_person,relation,count
Chandrika Kumaratunga,François Hollande,SHARED_UNI,1
Chandrika Kumaratunga,François Mitterrand,SHARED_UNI,1
Chandrika Kumaratunga,Gabriel Attal,SHARED_UNI,1
Chandrika Kumaratunga,Georges Pompidou,SHARED_UNI,1
Chandrika Kumaratunga,Jacques Chaban-Delmas,SHARED_UNI,1
Chandrika Kumaratunga,Laurent Fabius,SHARED_UNI,1
Chandrika Kumaratunga,Michel Debré,SHARED_UNI,1
Chandrika Kumaratunga,Michel Rocard,SHARED_UNI,1
Chandrika Kumaratunga,Nicolas Sarkozy,SHARED_UNI,1
Chandrika Kumaratunga,Édouard Philippe,SHARED_UNI,1
Dominique Strauss-Kahn,Emmanuel Macron,SHARED_UNI,2
Dominique Strauss-Kahn,François Hollande,SHARED_UNI,1
Dominique Strauss-Kahn,François Mitterrand,SHARED_UNI,1
Dominique Strauss-Kahn,Gabriel Attal,SHARED_UNI,1
Dominique Strauss-Kahn,Georges Pompidou,SHARED_UNI,1
Dominique Strauss-Kahn,Jacques Chaban-Delmas,SHARED_UNI,1
Dominique Strauss-Kahn,Laurent Fabius,SHARED_UNI,1
Dominique Strauss-Kahn,Michel Debré,SHARED_UNI,1
Dominique Strauss-Kahn,Michel Rocard,SHARED_UNI,1
Dominique Strauss-Kahn,Nicolas Sarkozy,SHARED_UNI,2
Dominique Strauss-Kahn,Édouard Philippe,SHARED_UNI,1
Emmanuel Macron,François Mitterrand,SHARED_UNI,1
Emmanuel Macron,Gabriel Attal,SHARED_UNI,1
Emmanuel Macron,Georges Pompidou,SHARED_UNI,1
Emmanuel Macron,Jacques Chaban-Delmas,SHARED_UNI,1
Emmanuel Macron,Laurent Fabius,SHARED_UNI,1
Emmanuel Macron,Michel Debré,SHARED_UNI,1
Emmanuel Macron,Nicolas Sarkozy,SHARED_UNI,2
Emmanuel Macron,Édouard Philippe,SHARED_UNI,1
François Hollande,François Mitterrand,SHARED_UNI,1
François Hollande,Gabriel Attal,SHARED_UNI,2
François Hollande,Georges Pompidou,SHARED_UNI,1
François Hollande,Jacques Chaban-Delmas,SHARED_UNI,1
François Hollande,Laurent Fabius,SHARED_UNI,1
François Hollande,Michel Debré,SHARED_UNI,1
François Hollande,Nicolas Sarkozy,SHARED_UNI,1
François Hollande,Édouard Philippe,SHARED_UNI,1
François Mitterrand,Gabriel Attal,SHARED_UNI,1
François Mitterrand,Georges Pompidou,SHARED_UNI,1
François Mitterrand,Jacques Chaban-Delmas,SHARED_UNI,1
François Mitterrand,Laurent Fabius,SHARED_UNI,1
François Mitterrand,Michel Debré,SHARED_UNI,2
François Mitterrand,Michel Rocard,SHARED_UNI,1
François Mitterrand,Nicolas Sarkozy,SHARED_UNI,1
François Mitterrand,Édouard Philippe,SHARED_UNI,1
Gabriel Attal,Georges Pompidou,SHARED_UNI,1
Gabriel Attal,Jacques Chaban-Delmas,SHARED_UNI,1
Gabriel Attal,Laurent Fabius,SHARED_UNI,1
