src_university,dst_university,relation
Viện Công nghệ California,Đại học Brown,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Bocconi,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Thanh Hoa,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Bắc Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Tokyo,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Keio,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Chiết Giang,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ California,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
École Polytechnique,Trường Bách khoa Paris,UNIVERSITY_MENTIONS_UNIVERSITY
École nationale d'administration,Trường Hành chính quốc gia (Pháp),UNIVERSITY_MENTIONS_UNIVERSITY
École nationale des ponts et chaussées,École nationale supérieure des mines de Paris,UNIVERSITY_MENTIONS_UNIVERSITY
