src_person,dst_person,relation
Aldo Moro,Enrico Letta,MENTIONS_PERSON
Aldo Moro,Matteo Renzi,MENTIONS_PERSON
Aldo Moro,Paolo Gentiloni,MENTIONS_PERSON
Aldo Moro,Giuseppe Conte,MENTIONS_PERSON
Aldo Moro,Mario Draghi,MENTIONS_PERSON
Alexander Schallenberg,Alexander Van der Bellen,MENTIONS_PERSON
Alexander Schallenberg,Sebastian Kurz,MENTIONS_PERSON
Alexander Schallenberg,Karl Nehammer,MENTIONS_PERSON
Alexander Schallenberg,Brigitte Bierlein,MENTIONS_PERSON
Alexander Schallenberg,Werner Faymann,MENTIONS_PERSON
Alexander Schallenberg,Christian Kern,MENTIONS_PERSON
Alexander Schallenberg,Hartwig Löger,MENTIONS_PERSON
Albert Gallatin,John Quincy Adams,MENTIONS_PERSON
Albert Gallatin,James Madison,MENTIONS_PERSON
Albert Gallatin,James Monroe,MENTIONS_PERSON
Albert Gallatin,Thomas Jefferson,MENTIONS_PERSON
Albert Gallatin,Samuel Dexter,MENTIONS_PERSON
Alexander Stubb,Sauli Niinistö,MENTIONS_PERSON
Alexander Stubb,Juha Sipilä,MENTIONS_PERSON
Alexander Stubb,Jyrki Katainen,MENTIONS_PERSON
Alexander Stubb,Matti Vanhanen,MENTIONS_PERSON
Alexander Stubb,Mari Kiviniemi,MENTIONS_PERSON
Alexander Stubb,Rafael Erich,MENTIONS_PERSON
Alexander Stubb,Antti Tulenheimo,MENTIONS_PERSON
Alexander Stubb,Pehr Evind Svinhufvud,MENTIONS_PERSON
Alexander Stubb,Johan Wilhelm Rangell,MENTIONS_PERSON
Alexander Stubb,Edwin Linkomies,MENTIONS_PERSON
Alexander Stubb,Juho Kusti Paasikivi,MENTIONS_PERSON
Alexander Stubb,Urho Kekkonen,MENTIONS_PERSON
Alexander Stubb,Teuvo Aura,MENTIONS_PERSON
Alexander Stubb,Keijo Liinamaa,MENTIONS_PERSON
Alexander Stubb,Harri Holkeri,MENTIONS_PERSON
Alexander Stubb,Paavo Lipponen,MENTIONS_PERSON
Alexander Stubb,Anneli Jäätteenmäki,MENTIONS_PERSON
Alexander Stubb,Sanna Marin,MENTIONS_PERSON
Alberto Fujimori,Alan García,MENTIONS_PERSON
Alberto Fujimori,Ollanta Humala,MENTIONS_PERSON
Alberto Fujimori,José Jerí,MENTIONS_PERSON
Alexandre Millerand,Raymond Poincaré,MENTIONS_PERSON
Alexandre Millerand,Paul Deschanel,MENTIONS_PERSON
Alexandre Millerand,Gaston Doumergue,MENTIONS_PERSON
Alexandre Millerand,Georges Clemenceau,MENTIONS_PERSON
Alexandre Millerand,Jean Casimir-Perier,MENTIONS_PERSON
Alexandre Millerand,Émile Loubet,MENTIONS_PERSON
Alexandre Millerand,Armand Fallières,MENTIONS_PERSON
Alexandre Millerand,Paul Doumer,MENTIONS_PERSON
Alexandre Millerand,Vincent Auriol,MENTIONS_PERSON
Alexandre Millerand,René Coty,MENTIONS_PERSON
Alexandre Millerand,Charles de Gaulle,MENTIONS_PERSON
Alexandre Millerand,Georges Pompidou,MENTIONS_PERSON
Alexandre Millerand,Valéry Giscard d'Estaing,MENTIONS_PERSON
Alexandre Millerand,François Mitterrand,MENTIONS_PERSON
