person,person_url,university,university_url,source
Roald Hoffmann,https://vi.wikipedia.org/wiki/Roald_Hoffmann,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Laurie Holden,https://vi.wikipedia.org/wiki/Laurie_Holden,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Herman Hollerith,https://vi.wikipedia.org/wiki/Herman_Hollerith,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Hồng Vĩnh Thời,https://vi.wikipedia.org/wiki/H%E1%BB%93ng_V%C4%A9nh_Th%E1%BB%9Di,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Langston Hughes,https://vi.wikipedia.org/wiki/Langston_Hughes,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
John Jay,https://vi.wikipedia.org/wiki/John_Jay,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
John DeFrancis,https://vi.wikipedia.org/wiki/John_DeFrancis,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
John Jacob Astor III,https://vi.wikipedia.org/wiki/John_Jacob_Astor_III,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Julian Schwinger,https://vi.wikipedia.org/wiki/Julian_Schwinger,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Rudolf E. Kálmán,https://vi.wikipedia.org/wiki/Rudolf_E._K%C3%A1lm%C3%A1n,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Karen Olsen Beck,https://vi.wikipedia.org/wiki/Karen_Olsen_Beck,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Edward Kasner,https://vi.wikipedia.org/wiki/Edward_Kasner,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Ephraim Katzir,https://vi.wikipedia.org/wiki/Ephraim_Katzir,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Edward Calvin Kendall,https://vi.wikipedia.org/wiki/Edward_Calvin_Kendall,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Caroline Kennedy,https://vi.wikipedia.org/wiki/Caroline_Kennedy,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Alicia Keys,https://vi.wikipedia.org/wiki/Alicia_Keys,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
William Standish Knowles,https://vi.wikipedia.org/wiki/William_Standish_Knowles,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
